薬の名前,棚情報
トラゾドン,"トラゾドン：棚A A-1"
ジゴキシン,"ジゴキシン：棚A A-2"
地獄心,"ジゴキシン：棚A A-2"
メキシレチン,"メキシレチン：棚A A-3"
ボンビバ,"ボンビバ：棚A A-4"
本ビバ,"ボンビバ：棚A A-4"
アルファカルシドール,"アルファカルシドール：棚A A-5"
ゾルミトリブタン,"ゾルミトリブタン：棚B B-1"
ゾルミトリ豚,"ゾルミトリブタン：棚B B-1"
鶴見そり牡丹,"ゾルミトリブタン：棚B B-1"
ジェルみ剃りボタン,"ゾルミトリブタン：棚B B-1"
そりそりボタン,"ゾルミトリブタン：棚B B-1"
イルアミクス,"イルアミクス：棚A B-2"
アムロビジン,"アムロビジン：棚A B-3"
安室 美人,"アムロビジン：棚A B-3"
グリメピソド,"グリメピソド：棚A B-4"
グルメエピソード,"グリメピソド：棚A B-4"
グリムエピソード,"グリメピソド：棚A B-4"
グリムピサロ,"グリメピソド：棚A B-4"
アレンドロン,"アレンドロン：棚A B-5"
麻黄附子細辛湯,"麻黄附子細辛湯：棚A C-1"
マホウブシサイシントウ,"麻黄附子細辛湯：棚A C-1"
魔法節最新塔,"麻黄附子細辛湯：棚A C-1"
魔王武士最新党,"麻黄附子細辛湯：棚A C-1"
アブリンジン,"アブリンジン：棚A C-2"
炙リ人,"アブリンジン：棚A C-2"
アブ隣人,"アブリンジン：棚A C-2"
ニフェジピン,"ニフェジピン：棚A C-3"
ジピン,"ニフェジピン：棚A C-3"
オルケディア,"オルケディア：棚A C-4"
メトホルミン,"メトホルミン：棚A C-5"
ネットホルミン,"メトホルミン：棚A C-5"
コントミン,"コントミン：棚A D-1"
メプチン,"メプチン：棚A D-2"
ニコランジル,"ニコランジル：棚A D-3"
メトクロプラミド,"メトクロプラミド：棚A D-4"
ベオーバ,"ベオーバ：棚A D-5"
レオバ,"ベオーバ：棚A D-5"
エホバ,"ベオーバ：棚A D-5"
ジアゼバム,"ジアゼバム：棚A E-1"
デキストロメトルファン,"デキストロメトルファン：棚A E-2"
テキストロメトロファン,"デキストロメトルファン：棚A E-2"
硝酸イソソルビド,"硝酸イソソルビド：棚A E-3"
モサブリドクエン酸塩,"モサブリドクエン酸塩：棚A E-4"
モサブリド塩酸塩,"モサブリドクエン酸塩：棚A E-4"
ノイロビタン,"ノイロビタン：棚A E-5"
色のビタン,"ノイロビタン：棚A E-5"
色伸びたん,"ノイロビタン：棚A E-5"
ニトラゼパム,"ニトラゼパム：棚A F-1"
